StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_23_TEXT,SI2,SI3,SI3_8_TEXT,SI4,SI4_10_TEXT,SI5_1,SI5_11,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_10_TEXT,SI6,SI7,SI7_5_TEXT,SI8,SI8_4_TEXT,SI9,SI9_5_TEXT,SI10,SI10_5_TEXT,SI11,SI12
2026-02-05 09:26:38,2026-02-05 09:29:28,IP Address,*******,100,170,True,2026-02-05 09:29:28,R_7BOYe6ZCgFdxKTu,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Digestive Health",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,7,8,1,,2,5,4,,6,3,,,,"Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Video,,Patient Portal Links,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies",,,
2026-02-05 09:23:30,2026-02-05 09:46:42,IP Address,*******,100,1392,True,2026-02-05 09:46:43,R_12GKcCjju86C7WV,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,General Wellness/Prevention,Other (Please Specify)",Vegan/vegetarian/pescatarian nutrient adequacy,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Limited access to fresh produce (i.e., food insecurity),Other (Please Specify)","Views that plant-based eating is “too involved” (i.e., perception that they need to overhaul their entire way of eating), hesitations around flavor/texture/satiety factors of plant-based foods not currently in their diets like tofu or tempeh, and skepticism around “processed” foods in general including perceived processed plant-based foods like plant-based dairy alternatives (yogurt, cheese), mock meat products (Impossible burgers), etc.",2,,4,3,,,,,5,,1,See prior response for details,"They won’t get enough protein, it can be “processed” therefore conclude it may actually be unhealthy (see previous response for details), and that it won’t keep them satiated. Some of my patients who are or have eaten vegan say they enjoyed eating more fresh produce and trying new foods but often report feeling tired/lethargic. This group seems to feel stuck between a rock and a hard place: wanting to eat plant-based for their general understanding of the impact on this way of eating and health, environmental and moral purposes, etc. but don’t want to feel tired.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.),Other (Please Specify)","Education material that highlights common complaints of those eating plant-based and how to navigate (e.g., feeling tired could mean low iron intake, here’s how to increase your iron, next steps to meet with an RD or PCP if considering supplementation, etc.). Also culturally-relevant food/meal examples outside of the Mediterranean diet — many of my patients come from Mexican and Indian backgrounds where they want to eat in alignment with their culture’s cuisines.","Video,Other (Please Specify)","For video, I suggest short-form content with text (i.e., as a caption) for further details. Most of my patients report that they get their recipe and food ideas from video platforms like Instagram Reels, TikTok, and YouTube Shorts. I had a patient thank me once for sending a short-form video to build a balanced snack, stating “I expected you to just give me a black and white PDF with food ideas. This was so much more helpful!”",Other (Please Specify),"Digitally, thought it depends on how patients meet with their clinicians. In my work, I send an appointment summary via our patient portal after each appointment, attached links to resources like recipe, etc. For this answer, I would choose “Patient Portal Links” but just want to note that different patients/clients receive material differently depending on how they meet with their clinicians. Lastly, I like the patient portal option, since it created a paper trail of the resources I’ve sent.","Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"Mostly Nourish blog (my company), Nourish internal network, NIH, MyPlate.gov (since the Jan 2026 changes, I send direct links to pages that still exist and are aligned with the previous DGAs like the MyPlate Plan Calculator and MyPlate Kitchen), oldwayspt.org (for culturally-relevant meal and snack ideas), and American Heart Association.","I suggest framing plant-based eating as “shifting” and “adding” rather than “overhauling” and “taking away.” For example, I tell my patients they don’t need to deem themselves vegan or vegetarian, but simply adding more plant foods intake their eating in fun, enjoyable ways and in any form (cooked, pickled, raw, blended, etc.) will help improve their health. I refrain from pigeonholing them into thinking they must become vegan tomorrow, clean out their pantries/fridges, and that it will be difficult and enjoyable but they should “do it for their health.” People change when they feel capable, not when they feel cornered."
2026-02-05 10:09:02,2026-02-05 10:21:24,IP Address,*******,100,741,True,2026-02-05 10:21:25,R_7KW2hx0gmZU6rbU,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,General Wellness/Prevention,Other (Please Specify)",Sports Nutrition,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation",,3,,1,,,4,2,5,,,,,"Not being able to eat foods (meat) that they enjoy, and having to start to eat foods that are very foreign to them. ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,One-Pager/Brief",,Electronic Health Record,,"Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"Nutrition Care Manual, AHA, own organization materials, ","Providing tasty in-patient plant forward eating options. "
2026-02-05 10:49:13,2026-02-05 11:09:41,IP Address,*******,100,1227,True,2026-02-05 11:09:41,R_5ylH9D8TfN6yjV7,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity)",,4,,,5,6,2,3,,1,,,,"Inability to get enough protein. ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"One-Pager/Brief,Interactive Webpage",,Patient Portal Links,,Nutritional Efficacy for Specific Medical Conditions,,"Materials from employer; Academy of Nutrition & Dietetics; American Heart Association; American Cancer Society; ASPEN. ",
2026-02-05 11:59:03,2026-02-05 12:46:43,IP Address,*******,100,2859,True,2026-02-05 12:46:43,R_7dyyKnnumCGNi4b,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Cultural relevance and/or appropriateness of recipes",,1,,,,2,,3,,,,,,Unfamiliarity with plant based foods an perceived lack of taste,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,Protein Quality and Amino Acid Profiles,,AND Nutrition Care Manual,Verbally review what type of foods constitute plant based proteins
2026-02-05 14:10:39,2026-02-05 14:13:28,IP Address,*******,100,168,True,2026-02-05 14:13:29,R_69aGNphQZgTAfQy,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health,Other (Please Specify)",malnutrition/weight gaining,Lack of cooking skills and/or knowledge,,,,,,,,,,,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,Nutrition Care Manual,
2026-02-05 15:09:49,2026-02-05 15:14:27,IP Address,*******,100,278,True,2026-02-05 15:14:27,R_69WntrtmUIjLAIx,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,4,,2,6,1,,,,3,5,,,none,"Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Interactive Webpage,,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"Academy of Nutrition and Dietetics
American Heart Association
American Diabetes Association
",flexibility
2026-02-05 15:12:44,2026-02-05 15:14:35,IP Address,*******,100,111,True,2026-02-05 15:14:36,R_1OYQYvlCS1ldm8M,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences",,,,,,,,,,,,,,gas,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Patient Portal Links,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,NCM,n/a
2026-02-05 15:22:18,2026-02-05 15:25:48,IP Address,*******,100,209,True,2026-02-05 15:25:49,R_7NsLE80TLhTN8Ts,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,Oncology,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Time needed for meal preparation,Other (Please Specify)",fatigue and side effects from chemo and radiation,3,,4,,,,,2,,,1,fatigue and side effects from chemo and radiation,It takes too much meal planning to work well,"Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,"Kaiser, Academy of Nutrition and Dietetics, Stanford",
2026-02-05 15:23:47,2026-02-05 15:34:51,IP Address,*******,100,663,True,2026-02-05 15:34:51,R_5f9lcmZQtqx8i65,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,3,,2,6,1,,4,7,5,,,,taste,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,One-Pager/Brief",,Email,,Nutritional Efficacy for Specific Medical Conditions,,Nutrition Care Manual and Kaiser handouts,"we need better and tastier options. the vegan entrees need more protein and flavor than they have now. for instance, the lentil pasta dish that should have veggie meat balls added. also, the soba noodle salad should come with the marinated tofu. I've been vegetarian or vegan ~ 40 years and I'm annoyed by our vegan options here at the hospital. Most of our patients have high protein needs. You shouldn't have to cobble together a bunch of dishes to make a solid meal. "
2026-02-05 16:08:12,2026-02-05 16:12:05,IP Address,*******,100,233,True,2026-02-05 16:12:06,R_73Q9WLpyXvml1Rv,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences",,,,,,,,,,,,,,their preference for dairy and meat products,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Video,,Printed Handouts,,Nutritional Efficacy for Specific Medical Conditions,,AND,
2026-02-05 16:17:24,2026-02-05 16:20:55,IP Address,*******,100,211,True,2026-02-05 16:20:56,R_7iwgaZT7XqPJPeP,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,Respiratory Health,General Wellness/Prevention",,"Personal taste preferences,Familial and/or household pushback",,,,,,1,2,,,,,,,Not enough protein,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,"AHA, ADA, NKF",No
2026-02-05 16:28:27,2026-02-05 16:30:59,IP Address,*******,100,152,True,2026-02-05 16:31:00,R_7ITt58JmLVFGPbf,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation",,3,,,4,1,5,,2,,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"One-Pager/Brief,Interactive Webpage",,Patient Portal Links,,Review of Clinical Research and Dietary Guidelines,,materials in my own institution,
2026-02-05 16:27:38,2026-02-05 16:35:22,IP Address,*******,100,463,True,2026-02-05 16:35:23,R_3OrDHvApqd14Ewo,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Oncology,Other (Please Specify)",Eating Disorders,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,2,,1,,3,,,5,4,,,,"It's too expensive, food goes bad too quickly, fear it will taste bad and go to waste","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Sustainability Implications of Plant-Forward Eating",,"Materials developed within my own institution, American Cancer Society, Academy of Nutrition and Dietetics ","Materials that address availability and cultural diversity "
2026-02-05 16:33:28,2026-02-05 16:45:18,IP Address,*******,100,710,True,2026-02-05 16:45:18,R_1Qyj79XevcfwEaN,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health",,Other (Please Specify),"Patients who are elderly, often non ambulatory who live alone with chronic medical conditions who are unable to shop and cook food.  ",,,,,,,,,,,1,other- most burdensome,They don't like vegetables,Other (Please Specify),Places where patients can purchase healthy readymade foods,Video,,Printed Handouts,,Behavior-Change Strategies,,my own institution or academy of nutrition and dietetics nutrition care manual,
2026-02-05 16:44:16,2026-02-05 16:47:32,IP Address,*******,100,195,True,2026-02-05 16:47:32,R_11drv5PrK1Gbt2b,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,Type 2 Diabetes/Prediabetes,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity)",,5,,1,,2,,3,,4,,,,,Other (Please Specify),"something with flexability. Many of the patients i work with do not want to be entirely plant based, and shut down when suggested. ",One-Pager/Brief,,Electronic Health Record,,,,"kp clinical library, ADA",
2026-02-05 16:57:29,2026-02-05 17:02:13,IP Address,*******,100,284,True,2026-02-05 17:02:13,R_1X14lZkPbIUjmiR,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Familial and/or household pushback,Limited access to fresh produce (i.e., food insecurity)",,2,,3,,,1,,,4,,,,"protein, taste","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"Kaiser clinical library, AHA, AND",local resources prn
2026-02-05 17:24:42,2026-02-05 17:31:09,IP Address,*******,100,386,True,2026-02-05 17:31:09,R_31zdQvucUiZIVJN,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,2,,,,1,,,3,4,,,,"time-consuming, not satisfying enough","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,Kaiser materials,
2026-02-05 17:35:05,2026-02-05 17:40:35,IP Address,*******,100,330,True,2026-02-05 17:40:36,R_7M6emdymf1WPsSg,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Digestive Health",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,2,,,,1,3,,4,5,6,,,It will not be satisfying or adequate,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,Materials provided by the AND Nutrition Care Manual,
2026-02-05 17:36:15,2026-02-05 17:45:49,IP Address,*******,100,574,True,2026-02-05 17:45:50,R_6QtvW9rAkKfeCMP,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,Rheumatology,Other (Please Specify)",Type 1 DM,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Other (Please Specify)","If your patient is not eating any fruits/veg, it's unrealistic to recommend plant-based eating",3,,5,,2,7,,6,4,,1,They don't eat any fruits/veggies at present,"Inadequate protein intake and ""I don't like fruits/vegetables.""","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Other (Please Specify),"Social media! ",Electronic Health Record,,,,I develop my own,"A discount program through Kaiser for plant-based meal services, like Thistle or Purple Carrot"
2026-02-05 17:45:12,2026-02-05 17:48:55,IP Address,*******,100,223,True,2026-02-05 17:48:56,R_7en8NabznyDiR57,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity)",,2,4,1,,5,6,7,,3,,,,not enough protein or variety,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,"materials developed within my own institution, nutrition care manual",
2026-02-05 17:49:43,2026-02-05 17:55:53,IP Address,*******,100,369,True,2026-02-05 17:55:53,R_3V2fFbPaV4YA68F,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician Assistant,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Other (Please Specify)","cultural perception that healthy eating isn't for them. see a lot of male truckers, farmers, laborers, etc. They seem to have this weird perception that eating plants is somehow ""soft"" or not masculine. it is so disappointing",4,5,2,6,7,8,,1,3,,9,,"not enough protein, they won't have enough energy, it won't taste good, don't know what to cook, what about the other people in my house","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Other (Please Specify),"I think developing all these options would be wise. Some patients are more tech savvy and would prefer a webpage. others can barely call their family members from their flip phone in the hospital and would give up if given a link to a webpage, so need a handout. ",Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"ACLM, AHA","I would personally love if our cafeteria had more robust selection of plant based meals for inpatients, so that they could get some exposure to various things in the hospital. 

I would also like to see more teaching kitchens, with built in referral to the program upon hospital d/c for those with diet sensitive conditions (ie nearly everyone) "
2026-02-06 06:16:43,2026-02-06 06:21:32,IP Address,*******,100,289,True,2026-02-06 06:21:32,R_5hForXyjAlctnLw,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,No,General Wellness/Prevention,,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Cultural relevance and/or appropriateness of recipes",,3,,,1,,,2,,,,,,"don't like the taste, fake food","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,One-Pager/Brief",,QR Code,,Nutritional Efficacy for Specific Medical Conditions,,AND nutrition care manual,"Prepared meals like Mom's meals, meals on wheels (Grace's meals), etc."
2026-02-06 07:01:11,2026-02-06 07:04:52,IP Address,*******,100,220,True,2026-02-06 07:04:52,R_1Qcuow1FBkNNFO6,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation",,4,,,2,,3,,1,,,,,Inadequacy of protein,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,Interactive Webpage",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,AND,
2026-02-06 07:07:30,2026-02-06 07:18:51,IP Address,*******,100,680,True,2026-02-06 07:18:51,R_6CHaowbSIMT4d3T,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback",,4,,3,,2,1,,,,,,,"misconception of requiring a change to a vegan lifestyle, not clearly understanding the plant forward can easily fit into a wide variety of eating plans and preferences, it does not have to be exclusive   ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage,Other (Please Specify)",Could be any of the above given the audience and the preference for learning or access to these different medium,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,"AND NCM, Professional Associations listed above, materials in the EMR (sometimes not ideal) ",
2026-02-06 07:16:38,2026-02-06 07:27:06,IP Address,*******,100,628,True,2026-02-06 07:27:07,R_6Ofhyovo8qfbUY8,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,No,General Wellness/Prevention,,"Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity)",,,4,1,,3,,,,2,,,,"Unfamiliarity of ingredients, tofu was not a staple ingredient when growing up when discussed as protein source, limited household income choosing food that can spread further,","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Video,,Other (Please Specify),interactive demo,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"AND, AHA","food should be offered in natural forms, incorporate familiar ingredients like beans/legumes vs expecting patients to consume tofu if they have limited exposure; we eat familiar comfort foods when we are sick, be mindful of typical age of patients, encourage to incorporate vs replace; "
2026-02-06 07:23:04,2026-02-06 07:28:59,IP Address,*******,100,354,True,2026-02-06 07:28:59,R_7x0yx6bAon5IHMR,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,No,Type 2 Diabetes/Prediabetes,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,1,,3,,,,2,4,5,,,,not enough protein; doesnt taste good,"Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,Other (Please Specify)",Meeting/class,Printed Handouts,,"Protein Quality and Amino Acid Profiles,Sustainability Implications of Plant-Forward Eating",,Nutrition Care Manual,
